2026-06-30 13:55:10 | INFO     | data_loader | Descargando datos de BBVA (BBVA.MC)...
2026-06-30 13:55:10 | INFO     | data_loader | BBVA: 256 registros descargados.
2026-06-30 13:55:10 | INFO     | data_loader | Descargando datos de Inditex (ITX.MC)...
2026-06-30 13:55:11 | INFO     | data_loader | Inditex: 256 registros descargados.
2026-06-30 13:55:11 | INFO     | data_loader | Descargando datos de Telefónica (TEF.MC)...
2026-06-30 13:55:11 | INFO     | data_loader | Telefónica: 256 registros descargados.
2026-06-30 13:55:11 | INFO     | data_loader | Descargando datos de Repsol (REP.MC)...
2026-06-30 13:55:11 | INFO     | data_loader | Repsol: 256 registros descargados.
2026-06-30 13:55:11 | INFO     | data_loader | Descargando datos de Iberdrola (IBE.MC)...
2026-06-30 13:55:12 | INFO     | data_loader | Iberdrola: 256 registros descargados.
2026-06-30 13:55:12 | INFO     | data_loader | Descargando datos de CaixaBank (CABK.MC)...
2026-06-30 13:55:12 | INFO     | data_loader | CaixaBank: 256 registros descargados.
2026-06-30 13:55:12 | INFO     | data_loader | Descargando datos de Amadeus (AMS.MC)...
2026-06-30 13:55:13 | INFO     | data_loader | Amadeus: 256 registros descargados.
2026-06-30 13:55:13 | INFO     | data_loader | Descargando datos de ACS (ACS.MC)...
2026-06-30 13:55:13 | INFO     | data_loader | ACS: 256 registros descargados.
2026-06-30 13:55:13 | INFO     | data_loader | Descargando datos de Ferrovial (FER.MC)...
2026-06-30 13:55:13 | INFO     | data_loader | Ferrovial: 256 registros descargados.
2026-06-30 13:55:13 | INFO     | data_loader | Descargando datos de Naturgy (NTGY.MC)...
2026-06-30 13:55:14 | INFO     | data_loader | Naturgy: 256 registros descargados.
2026-06-30 13:55:14 | INFO     | data_loader | Descargando datos de Endesa (ELE.MC)...
2026-06-30 13:55:14 | INFO     | data_loader | Endesa: 256 registros descargados.
2026-06-30 13:55:14 | INFO     | data_loader | Descargando datos de Mapfre (MAP.MC)...
2026-06-30 13:55:14 | INFO     | data_loader | Mapfre: 256 registros descargados.
2026-06-30 13:55:14 | INFO     | data_loader | Descargando datos de Acciona (ANA.MC)...
2026-06-30 13:55:15 | INFO     | data_loader | Acciona: 256 registros descargados.
2026-06-30 13:55:15 | INFO     | main | 📊 Calculando resumen financiero...
2026-06-30 13:55:15 | INFO     | main | 📈 Detectando tendencias con indicadores técnicos...
2026-06-30 13:55:15 | INFO     | main |   Santander: ALCISTA
2026-06-30 13:55:15 | INFO     | main |   BBVA: ALCISTA
2026-06-30 13:55:15 | INFO     | main |   Inditex: ALCISTA
2026-06-30 13:55:15 | INFO     | main |   Telefónica: BAJISTA
2026-06-30 13:55:15 | INFO     | main |   Repsol: LATERAL
2026-06-30 13:55:15 | INFO     | main |   Iberdrola: ALCISTA
2026-06-30 13:55:15 | INFO     | main |   CaixaBank: ALCISTA
2026-06-30 13:55:15 | INFO     | main |   Amadeus: LATERAL
2026-06-30 13:55:15 | INFO     | main |   ACS: LATERAL
2026-06-30 13:55:15 | INFO     | main |   Ferrovial: ALCISTA
2026-06-30 13:55:15 | INFO     | main |   Naturgy: LATERAL
2026-06-30 13:55:15 | INFO     | main |   Endesa: ALCISTA
2026-06-30 13:55:15 | INFO     | main |   Mapfre: ALCISTA
2026-06-30 13:55:15 | INFO     | main |   Acciona: ALCISTA
2026-06-30 13:55:15 | INFO     | main | ⚠️  Verificando alertas de mercado...
2026-06-30 13:55:15 | INFO     | alerts | ✅ Sin alertas. Mercado estable.
2026-06-30 13:55:15 | INFO     | main | 📉 Generando gráficos con indicadores técnicos...
2026-06-30 13:55:15 | INFO     | analyzer | Gráfico técnico guardado: reports\Santander_tecnico.png
2026-06-30 13:55:16 | INFO     | analyzer | Gráfico técnico guardado: reports\BBVA_tecnico.png
2026-06-30 13:55:16 | INFO     | analyzer | Gráfico técnico guardado: reports\Inditex_tecnico.png
2026-06-30 13:55:17 | INFO     | analyzer | Gráfico técnico guardado: reports\Telefónica_tecnico.png
2026-06-30 13:55:17 | INFO     | analyzer | Gráfico técnico guardado: reports\Repsol_tecnico.png
2026-06-30 13:55:17 | INFO     | analyzer | Gráfico técnico guardado: reports\Iberdrola_tecnico.png
2026-06-30 13:55:18 | INFO     | analyzer | Gráfico técnico guardado: reports\CaixaBank_tecnico.png
2026-06-30 13:55:18 | INFO     | analyzer | Gráfico técnico guardado: reports\Amadeus_tecnico.png
2026-06-30 13:55:19 | INFO     | analyzer | Gráfico técnico guardado: reports\ACS_tecnico.png
2026-06-30 13:55:19 | INFO     | analyzer | Gráfico técnico guardado: reports\Ferrovial_tecnico.png
2026-06-30 13:55:19 | INFO     | analyzer | Gráfico técnico guardado: reports\Naturgy_tecnico.png
2026-06-30 13:55:20 | INFO     | analyzer | Gráfico técnico guardado: reports\Endesa_tecnico.png
2026-06-30 13:55:20 | INFO     | analyzer | Gráfico técnico guardado: reports\Mapfre_tecnico.png
2026-06-30 13:55:21 | INFO     | analyzer | Gráfico técnico guardado: reports\Acciona_tecnico.png
2026-06-30 13:55:21 | INFO     | main | 🤖 Generando análisis con IA (Gemini)...
2026-06-30 13:55:23 | ERROR    | ai_analyst | Error al llamar a Gemini: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ModelService.ListModels to see the list of available models and their supported methods.. Usando análisis básico.
2026-06-30 13:55:23 | INFO     | main | 📄 Generando reporte PDF...
2026-06-30 13:55:25 | INFO     | main | ✅ ¡Proceso completado! Revisa la carpeta 'reports'
2026-06-30 14:28:00 | INFO     | main | 🚀 Iniciando generación de reporte financiero IBEX 35...
2026-06-30 14:28:00 | INFO     | main | 📥 Descargando datos del mercado español...
2026-06-30 14:28:00 | INFO     | data_loader | Descargando datos de Santander (SAN.MC)...
2026-06-30 14:28:01 | INFO     | data_loader | Santander: 256 registros descargados.
2026-06-30 14:28:01 | INFO     | data_loader | Descargando datos de BBVA (BBVA.MC)...
2026-06-30 14:28:02 | INFO     | data_loader | BBVA: 256 registros descargados.
2026-06-30 14:28:02 | INFO     | data_loader | Descargando datos de Inditex (ITX.MC)...
2026-06-30 14:28:02 | INFO     | data_loader | Inditex: 256 registros descargados.
2026-06-30 14:28:02 | INFO     | data_loader | Descargando datos de Telefónica (TEF.MC)...
2026-06-30 14:28:03 | INFO     | data_loader | Telefónica: 256 registros descargados.
2026-06-30 14:28:03 | INFO     | data_loader | Descargando datos de Repsol (REP.MC)...
2026-06-30 14:28:03 | INFO     | data_loader | Repsol: 256 registros descargados.
2026-06-30 14:28:03 | INFO     | data_loader | Descargando datos de Iberdrola (IBE.MC)...
2026-06-30 14:28:04 | INFO     | data_loader | Iberdrola: 256 registros descargados.
2026-06-30 14:28:04 | INFO     | data_loader | Descargando datos de CaixaBank (CABK.MC)...
